FCFS,Shortest go first
2.9269,11.504
2.918,12.1128
2.9162,12.0783
2.9074,12.5244
2.9346,12.4868
2.9539,12.4494
2.9691,12.4125
2.988,12.3783
3.0063,12.3416
3.0269,12.8951
3.0618,12.8612
3.1013,12.8234
3.1389,13.2961
3.1513,13.2572
3.16,13.2186
3.1665,13.1801
3.174,13.142
3.1714,13.095
3.1669,13.0573
3.1578,13.0198
3.1487,13.1031
3.1464,13.0657
3.1491,13.0318
3.1429,13.0696
3.1342,13.0326
3.1253,11.2894
3.1165,11.5731
3.1209,11.5406
3.1194,11.5082
3.1107,11.4203
3.1089,11.3885
3.1036,11.3569
3.095,11.3254
3.0865,11.2942
3.078,11.263
3.0697,11.8294
3.0671,11.797
3.0588,11.7554
3.0504,11.7225
3.0421,11.6906
3.0347,11.659
3.0265,12.0382
3.0183,12.0058
3.0102,11.9735
3.0021,11.9414
2.9941,11.9095
2.9861,11.8777
2.9782,11.929
2.9703,11.8973
2.9624,11.881
2.9546,11.8473
2.9511,11.8192
2.9497,12.255
2.9702,12.6358
2.9985,12.6195
3.0325,12.5878
3.0674,13.1196
3.1107,13.0862
3.1496,13.4921
3.2003,13.9049
3.2591,13.8716
3.3094,13.846
3.3595,13.8106
3.3958,13.7751
3.4339,13.7738
3.4753,13.7388
3.5069,13.7041
3.5349,13.6695
3.5623,14.1137
3.5952,14.0782
3.6242,14.4146
3.6532,14.3785
3.6871,14.35
3.7196,14.7848
3.7551,14.7481
3.7939,15.2288
3.8324,15.1912
3.8604,15.1538
3.8822,15.1166
3.9053,15.0832
3.9001,13.8346
3.8967,13.8011
3.8973,13.7907
3.8963,13.7574
3.8915,13.7241
3.887,13.6909
3.8843,13.6581
3.8756,13.6252
3.8663,13.5926
3.8571,13.56
3.8479,13.4978
3.8387,13.8989
3.8512,13.8868
3.8677,13.8566
3.886,13.8299
3.9051,13.7973
3.9264,13.7685
3.949,14.3069
3.9832,14.2734
4.0133,14.2604
4.0487,14.863
4.0783,14.8286
4.1046,14.7942
4.1299,14.7616
4.153,14.7428
4.1768,15.0692
4.196,15.0346
4.2169,15.0012
4.2242,14.901
4.2375,14.8667
4.244,14.8328
4.2478,15.2171
4.249,15.1679
4.2463,15.1335
4.2451,15.0994
4.2356,15.0654
4.2261,15.0315
4.2166,15.0094
4.2126,15.0098
4.2105,14.9763
4.2084,14.9962
4.2111,15.4899
4.2224,15.4556
4.234,15.4259
4.2412,15.3918
4.2469,15.3606
4.2524,15.3246
4.2594,15.3029
4.2706,15.2699
4.2802,15.3226
4.2735,15.2892
4.2651,15.2559
4.2575,15.7791
4.2546,15.7429
4.2454,15.7087
4.2375,15.6748
4.2284,15.6411
4.2193,15.6076
4.2103,15.5741
4.2013,15.5409
4.1923,15.5077
4.1834,15.4776
4.1763,15.4448
4.1675,15.4126
4.1598,15.38
4.151,15.3478
4.1423,15.3155
4.1338,15.3022
4.1295,15.7649
4.138,15.7346
4.144,15.7017
4.1488,15.669
4.1498,15.6364
4.1465,15.604
4.1395,15.5717
4.1312,16.0421
4.1325,16.009
4.1324,15.998
4.1364,15.9958
4.1323,15.9562
4.1307,15.9236
4.1269,15.8901
4.124,15.858
4.1208,15.8298
4.1194,15.7988
4.1139,15.7668
4.1056,15.7585
4.1018,16.1773
4.1063,16.144
4.1084,16.1115
4.1103,16.0793
4.1098,16.1208
4.1113,16.089
4.1151,16.3254
4.1212,16.2933
4.1188,16.2609
4.1139,16.2345
4.1057,16.2024
4.0976,16.1704
4.0896,16.3986
4.0918,16.3663
4.0838,16.3343
4.0758,16.3023
4.0679,16.2697
4.0599,16.6204
4.052,16.588
4.0442,16.5254
4.0388,16.4952
4.0346,16.4639
4.0268,16.4322
4.019,16.4005
4.0129,16.4368
4.0052,16.4052
3.9975,16.8364
3.9899,16.6628
3.9823,16.6309
3.9768,16.6066
3.9692,16.5886
3.9659,16.5682
3.9621,16.5369
3.9579,16.5199
3.9552,16.4893
3.9478,16.5426
3.9477,16.5254
3.9502,17.038
3.9575,17.5013
3.9708,17.4801
3.981,17.4475
3.9904,17.4217
4.0002,17.3893
4.0044,17.3571
4.0038,17.3249
3.9964,17.2929
3.9921,17.261
3.9871,17.7123
3.9979,17.6887
4.0123,17.6568
4.0269,18.1336
4.0453,18.4791
4.0647,18.4454
4.0835,18.4211
4.1032,18.3876
4.1193,18.7886
4.1406,18.7546
4.1596,19.1631
4.1856,19.6389
4.2283,19.6035
4.2619,19.8659
4.3056,19.8303
4.3488,19.7948
4.3843,19.7593
4.4152,19.7213
4.4458,19.932
4.4761,19.926
4.5124,19.8906
4.5425,19.8536
4.5707,19.8185
4.5983,19.7835
4.6248,19.7486
4.6346,19.7138
4.6264,19.6791
4.6183,19.6446
4.6102,19.6102
4.6022,19.5759
4.5941,19.5418
4.5861,19.5077
4.5789,19.474
4.5717,19.4402
4.5646,19.4065
4.5568,19.3729
4.5489,19.3394
4.5411,18.5639
4.5332,18.5319
4.5255,18.501
4.5177,18.4693
4.51,18.4376
4.5023,18.4061
4.4946,18.3747
4.4869,18.3434
4.4793,18.3122
4.4717,18.2759
4.4641,18.2438
4.4565,18.2129
4.449,18.1821
4.4415,18.1515
4.434,18.1209
4.4267,18.594
4.4192,18.5633
4.4148,18.533
4.409,18.502
4.4021,18.4714
4.3948,18.4406
4.3875,18.4098
4.3826,18.3823
5.2761,24.9615
5.276,25.5449
5.2879,25.5027
5.2949,25.4606
5.2975,25.9427
5.3056,25.9
5.3113,25.8575
5.3174,25.8898
5.3271,25.8479
5.3357,25.8057
5.3371,25.7636
5.3376,25.7216
5.3389,25.6798
5.3405,25.6381
5.3419,26.2294
5.3333,23.6662
5.3247,24.1525
5.3302,24.1136
5.3298,24.0752
5.3286,24.4224
5.3213,24.3832
5.3128,24.3441
5.3043,24.3046
5.2958,24.2658
5.2874,24.2271
5.2789,24.1885
5.2705,24.1501
5.2622,24.1117
5.2538,24.0735
5.2455,24.036
5.2377,24.0889
5.2295,24.0509
5.2212,24.5724
5.2193,25.0014
5.2187,24.9621
5.2146,25.1892
5.2156,25.1566
5.2074,25.1173
5.1993,25.0781
5.1912,25.0469
5.1831,25.008
5.1751,24.9692
5.167,24.9305
5.1591,24.8919
5.1511,24.8074
5.1453,24.7691
5.1374,25.1828
5.1295,25.1441
5.1216,25.6235
5.1138,25.5842
5.1064,25.5451
5.0986,25.506
5.0908,25.4671
5.0831,25.4581
5.0772,25.4204
5.0695,25.3816
5.0618,25.882
5.0631,25.843
5.0662,26.4798
5.0686,26.4383
5.0738,26.898
5.0772,26.8575
5.0738,27.2436
5.0713,27.1396
5.0729,27.0993
5.0739,27.6314
5.0787,27.5901
5.0823,28.1478
5.091,28.1058
5.0896,28.064
5.0904,28.6902
5.0888,28.5187
5.0901,28.4775
5.0915,28.4354
5.0936,28.3943
5.0956,28.3524
5.0942,28.3107
5.0922,28.269
5.0848,28.2267
5.0773,28.1853
5.0702,28.761
5.0693,29.4129
5.0667,29.3699
5.0593,29.3271
5.0519,29.2845
5.0446,29.2513
5.0382,29.6849
5.0365,29.6419
5.0319,29.6004
5.0309,30.2757
5.0356,30.2782
5.0432,30.235
5.05,30.2009
5.0592,30.159
5.0645,30.1158
5.0701,30.0815
5.0757,30.3924
5.0851,30.3489
5.0924,30.3056
5.0941,30.2625
5.0875,30.2195
5.0808,30.1764
5.0736,30.1336
5.0674,30.0995
5.061,30.0569
5.0538,30.0145
5.0467,29.9756
5.0412,30.5439
5.0415,30.5012
5.0389,30.4584
5.0318,30.4157
5.0247,30.2628
5.0177,30.2205
5.0107,30.1783
5.0037,30.1362
4.9967,30.0942
4.9898,30.0485
4.9829,30.0154
4.9774,29.9737
4.9705,29.94
4.9636,29.8985
4.9568,29.8573
4.95,29.8161
4.9431,30.015
4.942,30.0156
4.9357,29.9744
4.9301,29.9332
4.9234,30.2138
4.9215,30.7938
4.9277,30.752
4.924,30.7101
4.9235,30.6827
4.9236,30.6428
4.9268,31.2506
4.9312,31.2081
4.9352,31.1881
4.9417,31.1473
4.9465,31.1185
4.9506,31.0765
4.9554,31.0346
4.9566,31.1871
4.9499,31.1452
4.9433,29.9056
4.9366,29.8655
4.93,29.8256
4.9234,30.1302
4.9218,30.1486
4.9219,30.1084
4.9153,30.0683
4.9088,30.0485
4.9037,30.0091
4.8972,29.9692
4.8913,29.93
4.8848,29.8887
4.8783,29.7509
4.8719,30.2583
4.8772,30.2201
4.8828,30.1954
4.8905,30.1558
4.8973,30.1162
4.904,30.0778
4.911,30.0385
4.9175,30.0161
4.9279,29.9881
4.9395,29.9491
4.9473,29.9101
4.9509,29.8735
4.9574,29.8667
4.9656,30.3962
4.9741,30.4568
4.9799,30.4175
4.9829,30.3781
4.9865,30.9186
4.9856,30.219
4.9792,30.18
4.9728,30.1412
4.9664,30.1025
4.96,30.399
4.9576,30.36
4.9534,30.3272
4.9531,30.2885
4.9478,30.2499
4.9415,30.1343
4.9352,30.0927
4.9289,30.0545
4.9226,30.0183
4.9182,29.9986
4.9129,29.9576
4.9076,29.9197
4.9037,29.8881
4.8975,29.8504
4.8913,30.2384
4.8852,30.2004
4.879,30.1624
4.8732,30.1259
4.8671,30.0881
4.861,30.0505
4.855,30.0129
4.8492,29.9755
4.8431,29.9382
4.8371,30.1474
4.8342,30.1099
4.8322,30.6316
4.8343,30.5936
4.8315,30.5635
4.8312,30.5279
4.8308,30.4901
4.8293,30.4532
4.8311,30.4162
4.828,30.3787
4.8245,30.3413
4.8189,30.3041
4.813,30.2669
4.8071,30.2298
4.8012,30.1804
4.7953,30.1435
4.7895,30.1067
4.7836,30.07
4.7778,30.4007
4.7735,30.376
4.7722,30.3391
4.7664,30.442
4.7627,30.4051
4.7569,30.3682
4.7511,30.3411
4.7454,30.2608
4.7397,30.2243
4.734,30.1879
4.7289,30.1671
4.7241,30.1368
4.7184,30.4292
4.7181,30.3927
4.7154,30.3563
4.7126,30.8716
4.7126,30.8347
4.7113,30.7979
4.7057,30.7612
4.7001,30.7246
4.6945,30.6915
4.6899,30.6556
4.6864,30.6556
4.6854,30.6193
4.6817,30.5831
4.6762,30.5469
4.6707,30.5109
4.6652,30.4749
4.6597,30.4392
4.6563,30.4034
4.6528,30.3677
4.6487,30.3415
4.6432,30.8299
4.6483,30.7986
4.6505,30.7524
4.6541,30.7351
4.6595,30.6993
4.6541,30.6605
4.6487,30.6247
4.6432,30.5891
4.6379,30.5541
4.6332,30.5314
4.631,30.4973
4.6257,30.4918
4.6274,30.4812
4.6244,30.446
4.6191,30.4109
4.6137,30.3759
4.6084,30.3409
4.604,30.306
4.6,30.2723
4.5948,30.236
4.5905,30.2014
4.5876,30.1974
4.5823,30.1629
4.5771,30.3672
4.5752,30.3327
4.5716,30.2981
4.5679,30.3027
4.5654,30.2683
4.5602,30.234
4.555,30.1997
4.5499,30.1666
4.5459,30.1325
4.5408,30.0984
4.5357,30.064
4.5314,30.039
4.5287,30.0077
4.5268,29.9924
4.5275,29.9592
4.5281,29.9256
4.5272,30.3662
4.5323,30.9255
4.5391,31.319
4.5514,31.284
4.5621,31.2491
4.5705,31.2143
4.5737,31.1795
4.5766,31.1448
4.5784,31.1102
4.5763,31.0757
4.5754,31.0413
4.5707,31.0069
4.5657,30.9726
4.5606,31.4795
4.5662,31.4875
4.5708,31.3753
4.5746,31.3381
4.5776,31.4861
4.5847,31.4578
4.5897,31.4233
4.5938,31.3926
4.5965,31.3579
4.5988,31.3236
4.6006,31.317
4.6041,31.286
4.6052,31.2383
4.6034,31.2043
4.5988,31.1703
4.5938,31.1406
4.5889,31.1067
4.5843,31.079
4.5808,31.0453
4.5775,31.6111
4.5792,31.9808
4.5764,31.9463
4.5714,31.9118
4.5665,31.8774
4.5616,31.8431
4.5567,31.8089
4.553,31.7753
4.5495,31.7412
4.5446,32.0641
4.5431,32.0298
4.5382,31.9956
4.5334,31.9753
4.5301,31.9412
4.5253,31.9151
4.5205,31.8702
4.5157,31.8353
4.5109,31.8015
4.5061,31.7709
4.5013,31.7372
4.4965,31.7035
4.4931,32.2797
4.4947,32.2456
4.4949,32.2116
4.4953,32.1884
4.4929,32.1544
4.4895,32.1218
4.4865,32.0926
4.4818,31.707
4.4785,31.6737
4.476,31.6406
4.4745,31.6079
4.4723,32.0471
4.4731,32.037
4.4766,32.0052
4.4816,31.972
4.4866,31.9798
4.4936,31.9465
4.4999,31.9137
4.5072,31.8858
4.5116,31.8528
4.5129,31.8326
4.5163,31.7996
4.5116,30.6082
4.5098,30.5766
4.5052,30.545
4.5005,30.4529
4.4959,30.3911
4.4917,30.3598
4.4871,30.3286
4.4825,30.3106
4.4786,30.3197
4.4741,30.2887
4.4695,30.2576
4.4655,30.7506
4.4664,30.724
4.4675,30.6926
4.4679,31.2048
4.4683,31.173
4.4675,31.1413
4.463,31.1097
4.4585,31.0781
4.454,31.0466
4.4495,31.0152
4.445,30.9837
4.4405,30.9524
4.4368,30.9224
4.4323,30.8912
4.4279,30.8695
4.4234,30.8385
4.4193,31.2702
4.4148,30.8756
4.4104,31.3382
4.4162,31.3071
4.4207,31.2937
4.4276,31.2627
